url,name,context,age,gender,description,mode
https://vimeo.com/417185815,Estrous-Roar,Advertisement & Attraction,Estrous,Female,"An estrous female is Chased by six males. The largest male is immediately behind her. His running is hampered by his Penis-Erection which is flapping back and forth hitting his legs and we can see him running with his legs wider apart. He attempts to Reach-Over her but is unable to catch her. As he nears her she gives an Estrous-Roar and continues running. He slows and a younger male takes over. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/417185870,Estrous-Roar,Advertisement & Attraction,Estrous,Female,"An estrous female is Chased by a couple of males. A young male is immediately behind her and is Reaching-Over her back as they run towards our car. She does not stop for him. We hear a deep Rumbling waoo-waoo-waoo as he Chases her. This Rumbling we have always assumed was the female, yet it is similar to a lost calf when it is separated and running to look for its family. It could be the calf but the depth of the Rumbling suggests it is the estrous female. As he almost able to stop her she gives two Estrous-Roars. A larger male enters the scene from the right and the younger male abandons his effort. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/417185923,Estrous-Roar,Advertisement & Attraction,Estrous,Female,"Amparo is Chased by Esau and other males. Esau tries Reaching-Over but she keeps running. She Tail-Swats to monitor how close Esau is. We hear her family Rumbling and Trumpeting in excitement in the background. Then we hear her emit a series of Estrous-Running-Rumbles and two Estrous-Roars as she is caught and Mounted by Esau. It appears to be a successful Mating and we hear the start of a Mating-Pandemonium as her family runs to the scene. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/475012055,Estrous-Roar,Advertisement & Attraction,Estrous,Female,"We find two large males in musth and we can tell by their eager behavior that they are frantically looking for an estrous female. Paolo is the larger of the two and takes the lead with a Musth-Walk - Purposeful-Walk, Chin-In, Head-High and Ears-Stiff. In this clip we see him as he tries to locate the female. We hear an Estrous-Roar and he quickens his pace as he understands she is being Chased. Just after this clip a young female appears being Chased by a 16 year old male. Her mother is running ahead of her estrous daughter with oestrus posture, apparently demonstrating oestrous behavior. The oestrous female is mated by the young male (we just miss the mating) and then by Paolo. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/475012095,Estrous-Roar,Advertisement & Attraction,Estrous,Female,"Nastya is in estrus nearby. We are filming a male who is Drinking. Suddenly he stops Listening. After a few seconds we hear an Estrous-Running-Rumble followed by an Estrous-Roar. He immediately leaves Drinking and disappears from view heading in the direction of the commotion. This is a good example showing that elephants differentiate between different call types. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/475014878,Estrous-Roar,Courtship,Estrous,Female,"After a Chase at a run or at a fast Walk and Pascal attempting to Reach-Over her to slow her movement, Amparo herself chooses to stop and the Rumbling of onlookers begins. With a full Penis-Erection attempts intromission. Amparo gives an Estrous-Roar and is streaming with Temporal-Gland-Secretion. Miranda - also in estrus, rushes over Rapid-Ear-Flapping. We can see a thread of semen. He achieves intromission on the 6th thrust; it lasts 32 seconds. We hear a Social-Trumpet and Miranda Rumbles and Rapid-Ear-Flaps. A family member and calf approach Rumbling and there is more Social-Trumpeting. As he dismounts we can see semen gush from Amparo's vagina and she gives an Estrous-Rumble with Open-Mouth and Chin-Out. (Amboseli, Kenya)",acoustic-vocal
https://soundcloud.com/elephantvoices/ethogram-estrous-roar-b3510750,Estrous-Roar,Courtship,Estrous,Female,"Erin in estrus emits an Estrous-Rumble-Roar as she is chased by a young male. (Amboseli, Kenya)",acoustic-vocal
https://soundcloud.com/elephantvoices/ethogram-estrous-roar-b3510750,Estrous-Roar,Courtship,Estrous,Female,"Erin in estrus emits an Estrous-Rumble-Roar as she is chased by a young male. (Amboseli, Kenya)",acoustic-vocal
https://soundcloud.com/elephantvoices/ethogram-estrous-roar-b3510750,Estrous-Roar,Courtship,Estrous,Female,"Erin in estrus emits an Estrous-Rumble-Roar as she is chased by a young male. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/418405800,Estrous-Rumble,Advertisement & Attraction,Estrous,Female,"Amparo is Chased by Esau and other males. Esau tries Reaching-Over but she keeps running. She Tail-Swats to monitor how close Esau is. We hear her bond-group Rumbling and Social-Trumpeting in excitement in the background. Then we hear her emit a series of Estrous-Running-Rumbles and two Estrous-Roars as she is caught and Mounted by Esau. It appears to be a successful Mating and we hear the start of a Mating-Pandemonium as her family rushes to the scene. Amparo begins her Estrous-Song with a series of Open-Mouthed Estrous-Rumbles that are associated with Rapid-Ear-Flapping as her members of her family Rumble and Social-Trumpet overlapping their calls with hers. In this clip we show two Estrous-Rumbles. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/477952859,Estrous-Rumble,Advertisement & Attraction,Estrous,Female,"Pascal is in musth and Amparo is in estrus and they are in Consort. This is the 4th day that she is in estrus and she is at her peak. At the start of the clip we see Pascal standing next to Amparo with a Penis-Erection. Pascal then begins a series of courtship behaviors for 2 and a half minutes (which has been shortened to reduce the file size): Reaching-Over her and Resting-Head on her three times and in between these gently Driving her - pushing and nudging her from side to side and reaching his Trunk-Toward her. Meanwhile, Amparo cooperates and shows she is ready by Backing-Toward him. She Stands-to-Mate. As the other elephants realise what is about to happen they walk toward her to watch. Tuskless Dram Rumbles and Amparo joins her with an Estrous-Rumble. Dram Rumbles twice more. Pascal steps back and forth shifting his weight from one foot to the other as he prepares to lift himself onto his hind legs and Dram Rumbles again. Pascal mounts and appears to achieve intromission on the 5th thrust. As he enters her he raises up and we can see that Amparo appears to be lifted up by his penis - we see her Kick-Back with first one leg and then the other as she seems to be almost standing on her toes - her hind legs out-stretched. Pascal remains inside her for 29 seconds and the other males mill around them. As he begins to dismount we hear the Open-Mouth Rumbling starts in earnest - first by tuskless Dram and then Amparo begins her Open-Mouthed Estrus-Rumbling, and someone gives a Social-Trumpet. Amparo Tail-Raises and we see semen gush from her vulva. She Backs-Away giving more Estrus-Rumbles. Then we hear Dram Rumble again and then Amparo - back and forth many times as we can see by their alternating Rapid-Ear-Flapping. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/485926647,Estrous-Rumble,Advertisement & Attraction,Estrous,Female,"Pascal is in musth and Qadija is in estrus. Pascal has been Guarding her all day. We have seen signs that they are about to Mate. As this clip starts Pascal with a Penis-Erection Pursues Qadija who engages in an Estrous-Walk, Looking-Back. As Pascal gets closer she slows. With an Open-Mouth Pascal Reaches-Over and she Stands-to-Mate. Pascal Mounts her and appears to achieve intromission on the 7th thrust. Rumbling and Rumble-Roar-Rumbles by other family members can be heard. Qadija Kicks-Back at Pascal and other males gather around them reaching Trunk-Toward them. Pascal is Mounted for 25 seconds and Rumbling by family members continues. As he dismounts Qadija rushes forward and gives an Estrous-Rumble which is answered by Pascal Musth-Rumbling and then another Estrous-Rumble by Qadija who then Head-Shakes. (Amboseli, Kenya)",acoustic-vocal
https://vimeo.com/542155598,Estrous-Rumble,Advertisement & Attraction,Estrous,Female,"There are four males in musth together. The two males on the left have just been in a fight, which was broken up by Paulo, the male on the right with two long tusks. A fourth musth male, Ulysses joins them. As they are standing around interacting they hear an estrous female give an Estrous-Rumble in the distance (~5000 meters). She is with a fifth musth male. Notice that when she calls Tee-Jay and Gordon Listen and then turn and head in her direction. Paulo is already heading that way and Ulysses stands and Listens. (Amboseli, Kenya)",acoustic-vocal
