filename,context,sound_type,age_sex,comm_mode,description,url,session_id,elephant_id,body_part,country,mean_f0,std_f0,f0_range,f0_slope,mean_f1,mean_f2,mean_f3,duration,attack_time,temporal_centroid,rms_energy,mean_hnr,spectral_flatness,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4
28_Courtship_Rumble-Roar-Rumble_seg002.wav,Affiliative,Rumble-Roar-Rumble,Juvenile/Adolescent Female,acoustic-vocal,"Elephants give a Trumpet-Blast, Rumble-Roar-Rumble, and a Roaring-Rumble in response to the playbacks of lions Roaring. Unfortunately this was recorded by a third party who used a recorder with low-frequency cutoff so only the upper harmonics of the Rumbles are heard. (Amboseli, Kenya) ",https://soundcloud.com/elephantvoices/ethogram-rumble-roar-rumble-z2303520,28_Courtship_Rumble-Roar-Rumble,Rumble-Roar-Rumble,vocal,Kenya,75.28337523255935,33.43386628951025,89.66432449838724,0.053104954001124444,103.88419285601015,150.62428508003472,188.41525377909818,2.5905668934240365,1.69421768707483,1.3265666251666581,0.03975639492273331,10.440324195421352,2.33641876548063e-05,471.5740518775453,1572.18821796903,243.49822998046875,-273.91265869140625,177.93838500976562,-41.11552047729492,-129.11642456054688
19_Social Play_Squelch_seg001.wav,Social Play,Squelch,Adult Female,acoustic-vocal,"A family of elephants is at play in the lugga mostly out of view. A young male comes up the bank and walks toward camera and gives a Squelch. (Maasai Mara, Kenya)",https://vimeo.com/377497585,19_Social Play_Squelch,Squelch,vocal,Kenya,8.447056435257654,1.5456600589147893,3.8947573826076383,0.14034605449330362,82.12077449175989,136.84863997529683,206.72464695382965,2.1306666666666665,1.4137083333333333,1.1665974764275628,0.1023499071598053,0.0,1.3499153283191845e-05,329.28157473772444,1623.4465146088314,104.0625,-214.76966857910156,148.11477661132812,94.87939453125,41.002784729003906
26_Social Play_Bow-Neck-Charge_seg003.wav,Social Play,Bow-Neck-Charge,Infant,acoustic-vocal,"As an adolescent male Floppy-Runs at the car he lowers his head adopting a floppy-bodied Bow-Neck-Charge (with head lowered and outstretched) position and shakes his head from side to side Head-Waggling. As he charges he Play-Trumpets. One of the filmmakers is concerned that this is a real charge so there is a lot of talking. As he runs he Tail-Raises in excitement and as he stops he Kicks-Dust. As he departs he swings his back legs out as if to kick vegetation, but misses. Then he Floppy-Run off in another direction. (Maasai Mara, Kenya)",https://vimeo.com/358743768,26_Social Play_Bow-Neck-Charge,Bow-Neck-Charge,vocal,Kenya,10.215731290153075,2.5301015989674993,5.92511110154084,-0.19479358562097127,80.90733891036271,131.52371873582226,188.25743490787914,5.1386666666666665,2.711895833333333,2.323638004041406,0.10175883769989014,1.074136688884387,8.487562809023075e-06,176.982973127984,1086.7252947002764,107.17064315352697,-171.0190887451172,189.92393493652344,109.66949462890625,32.652957916259766
12_Advertisement & Attraction_Estrous-Walk_seg002.wav,Advertisement & Attraction,Estrous-Walk,Estrous Female,acoustic-vocal,"Jolie of the JB family is in early estrous. At the start of the clip she is being Chased by musth male Conor and she Runs-Away. As she comes out of the long grass she slows to an Estrous-Walk, a Purposeful-Walk with Chin-Up, Tail-Raised, and Ears-Stiff. She has run in a wide arc and then out into Longinye to meet her family, with Conor still after her. (Amboseli, Kenya)",https://vimeo.com/413893490,12_Advertisement & Attraction_Estrous-Walk,Estrous-Walk,vocal,Kenya,5.611687748941769,0.01950610652737908,0.06240998778000506,-0.008475928653089139,87.64019338899338,141.44634494286726,197.6203806970099,2.472,1.8275208333333333,1.2252979282327963,0.060550764203071594,-1.1407639655301425,5.126591531734448e-06,190.20829367328554,1266.3597748074583,102.1349676724138,-222.81320190429688,187.75808715820312,92.09838104248047,10.939108848571777
28_Calf Reassurance & Protection_Guiding_seg002.wav,Calf Reassurance & Protection,Guiding,Adult Female,acoustic-vocal,"Little E is only 3 days old. He is under a bush being looked after by allomother Lorato. He seems to have something irritating in his trunk (ants?) and sneezes a couple of times and seems to try to shake whatever it is out. His mother appears to sense his distress and walks over to help him. She reaches out to him and tenderly grasps and holds/caresses his trunk as if either she understands that something in his trunk is the cause of his distress or because she is trying to lead him away from a problematic place. She holds his trunk in such a way as to lift his head and he follows her out. She encourages him to Suckle and then with his attention gained she begins to lead him away. Someone is giving Let's-Go-Rumbles. (Maasai Mara, Kenya)",https://vimeo.com/359517398,28_Calf Reassurance & Protection_Guiding,Guiding,vocal,Kenya,13.323898145966941,4.670250330666672,10.149380479671544,-0.35917053826972684,80.27103793481714,132.5858022187558,187.53899579457686,4.338666666666667,1.456625,2.057275522765041,0.10414482653141022,0.5601878077167033,2.3828151825000532e-05,179.17122819231273,1028.9075196315398,119.43335380835381,-186.47573852539062,206.39637756347656,113.30806732177734,28.78632926940918
22_Attacking & Mobbing_Charge_seg006.wav,Attacking & Mobbing,Charge,Calf,acoustic-vocal,"This is a 2 minute Charge by Valente, gf0013, (followed by the others in a Group-Charge) who has taken over from Marcela, gf0017, who took over from Mwana Nzo, gf0016, who led the first Charge after Provocadora initiated the Group-Charge. Note Valente’s Ear-Spreading throughout. She does a lot of Trunk-Bouncing and Trunk-Dragging. At one point she pauses Reaching-High as if her job is complete, but then renews her Charge trying to cut us off as we turn. She clearly understands the arc of our movement and how to best catch us. When she finally figures she has done her job she stops and goes to meet the others who are coming up behind her. It is at this point they have the End-Zone-Dance. For the entire sequence see Coalition. Context: Attacking & Mobbing (1). (Gorongosa, Mozambique)",https://vimeo.com/375612684,22_Attacking & Mobbing_Charge,Charge,vocal,Kenya,15.932154968575619,11.582055296966578,38.42806021824879,0.1617447736583401,72.9948762428212,116.51911643266364,154.23703331024828,4.210666666666667,3.038875,2.101677554527216,0.02423645183444023,2.083762315134131,5.1404225814621896e-05,281.3389519877209,1474.5305642613887,190.40743670886076,-279.34637451171875,253.9176788330078,83.57803344726562,-48.851741790771484
10_Conflict & Confrontation_Rumble-Roar_seg006.wav,Aggressive,Rumble-Roar,Infant,acoustic-vocal,"This clip contains part of an Estrous-Rumble overlapping with a Rumble-Roar -two calls that occurred at the beginning of a Mating-Pandemonium. (Maasai Mara, Kenya) ",https://soundcloud.com/elephantvoices/ethogram-rumble-roar-a1102909,10_Conflict & Confrontation_Rumble-Roar,Rumble-Roar,vocal,Kenya,23.228680785179495,0.6708521397763214,2.288974094488058,0.008666695405042115,84.86427086902914,133.3188854810714,174.8851635569705,2.497687074829932,1.0588662131519275,1.3841673771567946,0.03981770575046539,3.3210262504610126,8.383222302654758e-05,253.31088864357164,1113.9820046166951,251.61946614583334,-228.52969360351562,253.05569458007812,60.35428237915039,-61.55259323120117
41_Calf Nourishment & Weaning_Cry-Rumble_seg001.wav,Calf Nourishment & Weaning,Cry-Rumble,Infant,acoustic-vocal,"A 5-6 year old male calf has been trying to Suckle for a long time and his mother seems to be trying to wean him. She keep moving and he is using various tactics to try to get her to allow him to Suckle. He gives a Cry-Rumble in frustration. (Amboseli, Kenya)",https://vimeo.com/477560038,41_Calf Nourishment & Weaning_Cry-Rumble,Cry-Rumble,vocal,Kenya,0.0,0.0,0.0,0.0,76.47442386257866,122.30717105556597,174.40141526806033,4.082666666666666,2.9348125,2.198160803191168,0.07616633921861649,2.384590924198346,7.869634828239214e-06,274.4150658944028,1414.8178462260992,128.01892950391644,-206.593505859375,206.3793182373047,107.52891540527344,16.055124282836914
05_Coalition Building_Bonding-Rumble_seg005.wav,Coalition Building,Bonding-Rumble,Calf,acoustic-vocal,"An End-Zone-Dance is a form of Bonding-Ceremony that takes place after a defensive action. This End-Zone-Dance took place after multiple Group-Advances and multiple Group- and sustained Charges by members of the Mabenzi family. After Valente's almost two minute Charge which was joined by the entire family, Valente and Mwana Nzo High-Five and others all gather in an End-Zone-Dance - The main players - Valente and Mwana-Nzo Rumble with Open-Mouth, while they display Rapid-Ear-Flapping, Head-Raising, Tail-Raising, and Defecating. They reach their trunks to one another's mouth, Trunk-to-Mouth, and then display Trunk-Twining, Open-Mouth-to-Open-Mouth Intermittently there are Social-Trumpets. Then Mwana Nzo initiates another Group Advance. (Gorongosa, Mozambique)",https://vimeo.com/417932813,05_Coalition Building_Bonding-Rumble,Bonding-Rumble,vocal,Kenya,19.91049350305901,24.25207243942018,66.52569455482988,0.024420975518067066,83.75571914728005,124.84014502694053,161.46151792659714,4.232,2.2641666666666667,2.2591460758337285,0.05830143019556999,7.72769449063932,2.2964566596783698e-05,294.64176357065855,1322.4981249741104,199.01212216624685,-202.41744995117188,219.5550994873047,45.44993591308594,-80.1477279663086
07_Movement Space & Leadership_Lets-Go-Rumble_seg001.wav,Movement Space & Leadership,Lets-Go-Rumble,Adult Male,acoustic-vocal,"This is not a good example of the Lets-Go-Rumble itself, as the callers are distant and there is too much background noise, but we have included it for context. A family has been bathing at a pool. The adults have departed and are Waiting about 150 m away for juveniles and calves to follow. Some of the juveniles and calves depart as called, but a 4-year-old-male calf (circled) does not. We can see him Listening to the calling elephants, Ears-Stiff, but ignoring them. Finally, he leaves and is welcomed by his mother. Both adult females then give final Lets-Go-Rumbles associated with Ear-Flapping and they depart after Waiting ~ 5 minutes or more for him. (Amboseli, Kenya)",https://vimeo.com/468438171,07_Movement Space & Leadership_Lets-Go-Rumble,Lets-Go-Rumble,vocal,Kenya,13.284543011767884,4.421494527492801,12.722149970825111,0.01837845804881587,78.84408288841094,128.54502441669217,212.3356604367686,3.8693333333333335,2.310791666666667,2.0017583258722595,0.02277016080915928,3.841286128809378,9.615672752261162e-06,304.69714811752937,1676.677376776825,145.85485537190084,-329.1982727050781,184.35427856445312,120.65323638916016,53.222171783447266
